SUBDIVISION,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANNUAL,JF,MAM,JJAS,OND
Gujarat Region,1915,7.5,1.9,12.1,1.6,2.3,128.7,128.9,116.3,52.7,112.3,2.8,0.2,567.3,9.4,16,426.6,115.3
Gujarat Region,1916,0,0,0.2,0.1,8.7,126.7,168.3,418.9,193.6,32.4,4,0,952.9,0,9,907.5,36.4
Gujarat Region,1917,0.4,7.4,0,5.3,98.3,126.8,320.1,379.2,353.7,233.7,0,0,1524.9,7.8,103.6,1179.8,233.7
Gujarat Region,1918,0.4,0,0.2,0,12.1,37.8,110.5,213.4,17.6,0.2,0.5,0,392.6,0.4,12.3,379.3,0.7
Gujarat Region,1919,6.1,0.1,0,1.3,2.1,110,335.9,481.2,78.1,33,19.6,0,1067.4,6.2,3.5,1005.2,52.6
Gujarat Region,1920,44.1,1.8,0,0.2,63.2,189.3,268.1,110.4,31.7,0,0,0,708.9,45.9,63.4,599.5,0
Gujarat Region,1921,0.8,0,0,0,0,31.1,529.7,205.4,405.1,0.4,0,0.2,1172.8,0.8,0,1171.3,0.6
Gujarat Region,1922,2.1,0,0,0,0,130.8,314.8,106.8,314.3,5,4.1,0.7,878.7,2.1,0,866.8,9.8
Gujarat Region,1923,0,5.2,1.5,4,4.6,2.6,295,157.5,81.9,0.9,0,0,553.2,5.2,10.1,537,1
Gujarat Region,1924,1.4,0,0.4,0,5.5,117.3,297.3,267,198.7,21,0,1,909.6,1.4,6,880.3,22
Gujarat Region,1925,0,0,0.1,0,25.8,264.6,199.3,81.8,14.2,0.4,6.6,0.2,593.1,0,26,559.9,7.2
Gujarat Region,1926,6.5,0,0.9,2,8.5,20.1,406.1,471,359.1,0.1,0.1,0,1274.5,6.5,11.5,1256.4,0.2
Gujarat Region,1927,0,4.9,0,0.2,1.9,139.4,903.3,199.2,113.9,26.2,18.3,14.8,1422.1,4.9,2.1,1355.8,59.3
Gujarat Region,1928,0,0.2,0,0,0,51.5,372.7,220.5,138.3,19.6,16.4,1.8,821,0.2,0,783,37.8
Gujarat Region,1929,1.9,0,0,5.5,0.9,123.6,353.7,150.7,20.6,7.2,0.6,11.6,676.3,1.9,6.4,648.6,19.4
Gujarat Region,1930,2,0.2,0.2,0.1,1.1,160.2,426,152.9,102.8,48.2,0,0.9,894.7,2.2,1.5,841.9,49.1
Gujarat Region,1931,0,0.1,0,0,1.7,18.4,332.5,546.3,86.4,113.6,4.2,1.3,1104.6,0.1,1.7,983.7,119.1
Gujarat Region,1932,0,0,0.8,0.4,0.4,57.9,540,146.6,129.2,30.1,0.9,0.3,906.6,0,1.6,873.7,31.3
Gujarat Region,1933,0,3.4,0.7,3.5,44.3,118.3,241.3,473.6,227.5,15.1,1.4,7.9,1137.1,3.4,48.6,1060.6,24.4
Gujarat Region,1934,0.1,0,0.7,0.3,0,219.7,266.1,392.9,81.2,0.9,17.6,0,979.6,0.1,1.1,959.9,18.5
Gujarat Region,1935,7.3,0,0,1.6,0.4,82.4,356,107.1,187.6,14.2,0.1,0.3,756.9,7.3,1.9,733.1,14.6
Gujarat Region,1936,0,1.8,1.3,0,0.8,189.4,133.4,52.9,175.8,1.3,52.5,0,609.3,1.8,2.1,551.5,53.9
Gujarat Region,1937,0,4,0.2,0.1,0,260.6,577.8,32,320.1,3.3,0.1,4.8,1203.1,4,0.3,1190.6,8.2
Gujarat Region,1938,0,0.1,0,0,15.8,265,342.6,134.6,26.3,30.3,0,0,814.9,0.1,15.8,768.6,30.4
Gujarat Region,1939,0,1.1,3.1,0,0,30.3,210.3,265.3,91.6,1.3,2.4,0.2,605.6,1.1,3.1,597.5,3.9
Gujarat Region,1940,11.3,4.4,10.1,2,1.5,152.6,208.3,241.8,119.8,91.5,26.7,0,870.1,15.7,13.5,722.6,118.2
Gujarat Region,1941,1,12.5,0.1,0.7,0.9,42.5,671.9,187.7,40.7,3.3,0,0.4,961.8,13.5,1.8,942.9,3.7
Gujarat Region,1942,2,13.7,0,0,9,130.1,501.1,367.8,162.6,0,0,0.3,1186.8,15.8,9,1161.6,0.4
Gujarat Region,1943,0.1,0,0,0.6,19,132.8,484.2,80.9,152.2,42.6,0.4,0,912.8,0.1,19.5,850.1,43
Gujarat Region,1944,2.9,0,5.1,2.3,2.3,110.1,625.9,502.7,72.2,16.9,0,0,1340.6,2.9,9.8,1310.9,17
Gujarat Region,1945,7,0,0,1.9,0.7,160.9,518.8,245.3,339.5,2.7,0,0,1277,7,2.6,1264.6,2.7
Gujarat Region,1946,0,2.1,0,1.1,4.2,233.3,291.7,469.6,104.6,1.1,34.4,5.5,1147.7,2.1,5.3,1099.3,41
Gujarat Region,1947,0.4,0,0,40.4,0,5.4,216.7,257.1,252.7,8.3,2.3,0,783.4,0.4,40.4,731.9,10.7
Gujarat Region,1948,11.7,0.4,0,0,0.7,65.5,185.9,115.9,49.8,18.2,25.1,0.6,473.9,12.1,0.7,417.2,43.9
Gujarat Region,1949,0,0.1,0,0,2.5,35.2,290,205.5,241.1,23.5,2.5,0,800.3,0.1,2.5,771.8,25.9
Gujarat Region,1950,0,0,0,0,0.1,11.7,730.7,76.9,306.6,3.3,0,0,1129.3,0,0.1,1125.9,3.3
Gujarat Region,1951,0,0,0.4,0.3,2.1,65.6,218.6,162.6,7.3,13.9,7.3,0.3,478.3,0,2.7,454.1,21.5
Gujarat Region,1952,0,0,0,0,0.2,138.7,487.7,136.4,11.6,1.8,0,0,776.6,0,0.3,774.5,1.8
Gujarat Region,1953,12.6,0,0,0.1,0.3,143.6,240,552.9,104.5,1,0,0.4,1055.5,12.6,0.4,1041,1.4
Gujarat Region,1954,0.1,2,5.5,0,0.2,114.3,355,214.1,522,32,0.1,2.6,1248,2.2,5.7,1205.5,34.7
Gujarat Region,1955,0.3,0.1,0.1,0.7,3.1,104.9,109.9,393.5,311.4,51.4,0.1,0,975.7,0.4,4,919.8,51.5
Gujarat Region,1956,0,0.1,0,0.1,26.5,102.9,661.3,329.8,135,107.4,2.2,1.4,1366.6,0.1,26.6,1229,110.9
Gujarat Region,1957,2.3,0,0.2,0,5.7,151.8,257.1,198.7,16.1,7.5,8.2,0.2,647.8,2.3,6,623.6,15.9
Gujarat Region,1958,1,0,0.3,1.1,0.7,103.4,336.8,287.1,335.9,46.9,10,0.1,1123.1,1,2,1063.2,56.9
Gujarat Region,1959,0,0,0,2.8,1.4,98,632.6,321.8,377.6,121.7,4.7,0,1560.7,0,4.2,1430.1,126.4
Gujarat Region,1960,1.6,0,0.2,0,8,131.4,218.3,210.6,73.1,6.3,0,0.1,649.6,1.6,8.2,633.3,6.5
